transaction_id,estate,phase,block,unit,floor,saleable_area_sqft,price_hkd,price_per_sqft_hkd_reference_only,sale_date,source_url,notes
41,city_one_shatin,1,1,G,18,327,4400000,13456,2025-12-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
42,city_one_shatin,1,1,A,19,451,7250000,16075,2020-07-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
43,city_one_shatin,1,1,B,19,451,7600000,16851,2019-08-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
44,city_one_shatin,1,1,D,19,327,4380000,13394,2024-10-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
45,city_one_shatin,1,1,F,19,451,6500000,14412,2026-06-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
46,city_one_shatin,1,1,H,19,327,4880000,14924,2022-11-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
47,city_one_shatin,1,1,E,20,451,7780000,17251,2020-08-12,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
48,city_one_shatin,1,1,G,20,327,5600000,17125,2023-05-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
49,city_one_shatin,1,1,C,21,327,6500000,19878,2018-10-30,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
50,city_one_shatin,1,1,D,21,327,6290000,19235,2022-01-10,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
51,city_one_shatin,1,1,F,21,451,7550000,16741,2020-08-04,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
52,city_one_shatin,1,1,C,22,327,4398000,13450,2025-07-16,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
53,city_one_shatin,1,1,F,22,451,7780000,17251,2020-12-24,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
54,city_one_shatin,1,1,D,23,327,4920000,15046,2022-09-29,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
55,city_one_shatin,1,1,G,23,327,4580000,14006,2024-05-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
56,city_one_shatin,1,1,A,24,451,7500000,16630,2021-03-26,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
57,city_one_shatin,1,1,C,24,327,5998000,18343,2019-08-01,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
58,city_one_shatin,1,1,H,24,327,6180000,18899,2021-12-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
59,city_one_shatin,1,1,C,25,327,4300000,13150,2024-03-28,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
60,city_one_shatin,1,1,E,25,451,7780000,17251,2018-07-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
61,city_one_shatin,1,1,G,25,327,5730000,17523,2020-09-18,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
62,city_one_shatin,1,1,C,26,327,4850000,14832,2018-12-13,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
63,city_one_shatin,1,2,B,1,451,3500000,7761,2026-01-30,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
64,city_one_shatin,1,2,E,1,451,5480000,12151,2023-03-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
65,city_one_shatin,1,2,B,2,451,6300000,13969,2021-01-20,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
66,city_one_shatin,1,2,C,2,327,3600000,11009,2025-03-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
67,city_one_shatin,1,2,F,2,451,6880000,15255,2021-07-06,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
68,city_one_shatin,1,2,A,3,451,5000000,11086,2024-12-05,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
69,city_one_shatin,1,2,D,3,327,5300000,16208,2019-09-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
70,city_one_shatin,1,2,H,3,327,5390000,16483,2020-06-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
71,city_one_shatin,1,2,C,4,327,3000000,9174,2024-10-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
72,city_one_shatin,1,2,C,5,327,3980000,12171,2023-11-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
73,city_one_shatin,1,2,D,5,327,4150000,12691,2024-07-26,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
74,city_one_shatin,1,2,G,5,327,5050000,15443,2026-07-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
75,city_one_shatin,1,2,E,6,451,6280000,13925,2023-01-09,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
76,city_one_shatin,1,2,C,7,327,5400000,16514,2021-01-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
77,city_one_shatin,1,2,D,7,327,5700000,17431,2021-03-04,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
78,city_one_shatin,1,2,G,8,327,4000000,12232,2025-11-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
79,city_one_shatin,1,2,H,8,327,3930000,12018,2024-04-19,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
80,city_one_shatin,1,2,D,9,327,3312000,10128,2024-01-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
81,city_one_shatin,1,2,G,9,327,3180000,9725,2026-05-12,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
82,city_one_shatin,1,2,H,9,327,3620000,11070,2021-06-15,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
83,city_one_shatin,1,2,B,10,451,6580000,14590,2021-02-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
84,city_one_shatin,1,2,C,10,327,5000000,15291,2020-05-13,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
85,city_one_shatin,1,2,E,10,451,6620000,14678,2019-02-27,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
86,city_one_shatin,1,2,H,10,327,4250000,12997,2024-03-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
87,city_one_shatin,1,2,C,11,327,4350000,13303,2026-01-19,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
88,city_one_shatin,1,2,B,12,451,6450000,14302,2023-03-29,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
89,city_one_shatin,1,2,D,13,327,4800000,14679,2019-05-10,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
90,city_one_shatin,1,2,F,13,451,7100000,15743,2018-02-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
91,city_one_shatin,1,2,G,13,327,5600000,17125,2021-02-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
92,city_one_shatin,1,2,A,14,451,5850000,12971,2026-05-18,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
93,city_one_shatin,1,2,C,14,327,5320000,16269,2019-04-26,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
94,city_one_shatin,1,2,B,15,451,6500000,14412,2018-02-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
95,city_one_shatin,1,2,E,15,451,7400000,16408,2021-04-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
96,city_one_shatin,1,2,H,15,327,5580000,17064,2020-11-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
97,city_one_shatin,1,2,E,16,451,7860000,17428,2021-07-13,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
98,city_one_shatin,1,2,F,16,451,7500000,16630,2020-04-17,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
99,city_one_shatin,1,2,G,16,327,5790000,17706,2020-11-06,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
100,city_one_shatin,1,2,D,18,327,6400000,19572,2021-09-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
101,city_one_shatin,1,2,G,18,327,6220000,19021,2021-10-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
102,city_one_shatin,1,2,B,19,451,7650000,16962,2021-08-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
103,city_one_shatin,1,2,C,19,327,6000000,18349,2018-09-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
104,city_one_shatin,1,2,D,19,327,5900000,18043,2020-04-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
105,city_one_shatin,1,2,B,20,451,5630000,12483,2026-03-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
106,city_one_shatin,1,2,G,20,327,5850000,17890,2021-11-17,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
107,city_one_shatin,1,2,F,22,451,3550000,7871,2023-05-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
108,city_one_shatin,1,2,D,23,327,5000000,15291,2025-06-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
109,city_one_shatin,1,2,F,23,451,6500000,14412,2022-09-09,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
110,city_one_shatin,1,2,A,24,451,7900000,17517,2021-07-30,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
111,city_one_shatin,1,2,B,24,451,7250000,16075,2022-06-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
112,city_one_shatin,1,2,G,24,327,5930000,18135,2020-09-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
