transaction_id,estate,block,floor,saleable_area_sqft,age_at_sale,sale_date,price_hkd,adjusted_price_hkd
96,city_one_shatin,2,15,327,39,2020-11-25,5580000,4544471
97,city_one_shatin,2,16,451,40,2021-07-13,7860000,6131983
98,city_one_shatin,2,16,451,39,2020-04-17,7500000,6351589
99,city_one_shatin,2,16,327,39,2020-11-06,5790000,4715499
100,city_one_shatin,2,18,327,40,2021-09-14,6400000,5207330
101,city_one_shatin,2,18,327,40,2021-10-22,6220000,5094586
102,city_one_shatin,2,19,451,40,2021-08-03,7650000,6073307
103,city_one_shatin,2,19,327,37,2018-09-21,6000000,5543759
104,city_one_shatin,2,19,327,39,2020-04-22,5900000,4996583
105,city_one_shatin,2,20,451,45,2026-03-23,5630000,5355862
106,city_one_shatin,2,20,327,40,2021-11-17,5850000,4726089
107,city_one_shatin,2,22,451,42,2023-05-22,3550000,3069655
108,city_one_shatin,2,23,327,44,2025-06-11,5000000,5227542
109,city_one_shatin,2,23,451,41,2022-09-09,6500000,5638471
110,city_one_shatin,2,24,451,40,2021-07-30,7900000,6163189
111,city_one_shatin,2,24,451,41,2022-06-02,7250000,5974665
112,city_one_shatin,2,24,327,39,2020-09-11,5930000,4842724
113,city_one_shatin,2,24,327,40,2021-05-03,5895000,4737375
114,city_one_shatin,2,25,327,41,2022-03-22,5500000,4469759
115,city_one_shatin,2,25,327,41,2022-04-11,5800000,4568696
116,city_one_shatin,2,25,451,38,2019-03-26,6500000,5705206
117,city_one_shatin,2,26,327,44,2025-10-02,4280000,4428355
118,city_one_shatin,2,27,327,38,2019-10-10,6000000,5243860
119,city_one_shatin,15,1,819,40,2022-01-21,9990000,8091517
120,city_one_shatin,15,3,853,44,2026-05-19,9000000,8166943
121,city_one_shatin,15,3,853,41,2023-10-25,9600000,9314457
122,city_one_shatin,15,4,819,38,2020-09-04,11718000,9569484
123,city_one_shatin,15,6,853,41,2023-02-22,10380000,9072240
124,city_one_shatin,15,7,819,43,2025-11-24,8800000,8803141
125,city_one_shatin,15,12,853,43,2025-03-12,8380000,9027741
126,city_one_shatin,15,14,853,37,2019-01-28,10180000,9673283
127,city_one_shatin,15,15,819,39,2021-04-13,11380000,9091325
128,city_one_shatin,15,15,853,38,2020-09-14,12400000,10126438
129,city_one_shatin,15,17,819,39,2021-05-11,10000000,8036259
130,city_one_shatin,15,17,853,39,2021-04-20,11800000,9426857
131,city_one_shatin,15,18,853,43,2025-11-25,9200000,9203284
132,city_one_shatin,15,18,853,38,2020-12-09,11630000,9609398
133,city_one_shatin,15,19,819,42,2024-09-27,8280000,8703511
134,city_one_shatin,15,20,853,36,2018-10-23,12280000,11746050
135,city_one_shatin,15,21,819,43,2025-12-11,8000000,8147354
136,city_one_shatin,15,21,853,41,2023-08-02,10800000,9871298
137,city_one_shatin,15,22,819,43,2025-11-25,9380000,9383348
138,city_one_shatin,15,22,853,38,2020-01-02,3000000,2534705
139,city_one_shatin,15,23,819,40,2022-05-11,11468000,9266052
140,city_one_shatin,15,27,853,40,2022-04-25,13000000,10240182
141,city_one_shatin,16,1,327,43,2025-07-15,4050000,4198967
142,city_one_shatin,16,1,451,44,2026-02-13,5380000,5213822
143,city_one_shatin,16,2,327,38,2020-02-18,5200000,4446798
144,city_one_shatin,16,3,451,40,2022-09-28,6280000,5447630
145,city_one_shatin,16,3,451,39,2021-04-08,6000000,4793317
146,city_one_shatin,16,3,327,42,2024-09-13,3900000,4099480
147,city_one_shatin,16,4,451,39,2021-12-01,6500000,5272486
148,city_one_shatin,16,4,327,40,2022-06-08,5100000,4202868
149,city_one_shatin,16,4,451,39,2021-02-11,6080000,4914916
150,city_one_shatin,16,5,327,40,2022-01-21,5700000,4616782
151,city_one_shatin,16,6,451,41,2023-01-11,6050000,5360940
152,city_one_shatin,16,6,327,40,2022-06-08,5400000,4450095
153,city_one_shatin,16,6,451,38,2020-09-11,7000000,5716538
154,city_one_shatin,16,6,327,43,2025-12-11,4350000,4430124
155,city_one_shatin,16,6,327,38,2020-03-19,5650000,4729969
156,city_one_shatin,16,7,451,42,2024-09-27,5160000,5423927
157,city_one_shatin,16,7,451,44,2026-03-11,6000000,5707846
158,city_one_shatin,16,7,327,40,2022-10-21,4630000,4072922
159,city_one_shatin,16,8,451,36,2018-06-06,7360000,6250848
160,city_one_shatin,16,8,327,42,2024-10-23,4280000,4280039
161,city_one_shatin,16,8,327,44,2026-06-05,4680000,4479643
162,city_one_shatin,16,9,451,44,2026-04-08,6130000,5774228
163,city_one_shatin,16,9,451,38,2020-05-22,7220000,5877801
164,city_one_shatin,16,9,327,38,2020-02-12,5510000,4711896
165,city_one_shatin,16,9,327,44,2026-01-21,4400000,4399839
166,city_one_shatin,16,10,327,39,2021-12-29,6000000,4866911
167,city_one_shatin,16,10,327,36,2018-01-09,5280000,5003353
