transaction_id,phase,block,unit,floor,saleable_area_sqft,price_hkd,price_per_sqft_hkd_reference_only,sale_date,source_url,notes
45,1,1,D,8,327,5760000,17615,2020-10-19,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
46,1,1,E,8,451,7130000,15809,2021-04-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
47,1,1,G,8,327,5000000,15291,2019-05-30,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
48,1,1,B,7,451,6188000,13721,2022-09-26,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
49,1,1,F,6,451,7050000,15632,2021-06-16,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
50,1,1,G,6,327,5330000,16300,2019-07-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
51,1,1,H,6,327,5230000,15994,2022-04-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
52,1,1,B,5,451,6600000,14634,2019-09-17,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
53,1,1,G,5,327,3980000,12171,2025-09-26,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
54,1,1,H,5,327,5800000,17737,2021-08-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
55,1,1,C,4,327,5300000,16208,2021-04-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
56,1,1,E,4,451,6000000,13304,2018-01-18,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
57,1,1,A,3,451,7180000,15920,2021-10-29,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
58,1,1,B,2,451,5650000,12528,2022-10-27,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
59,1,1,C,2,327,4200000,12844,2026-03-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
60,1,1,D,2,327,5280000,16147,2020-03-18,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
61,1,1,H,2,327,5330000,16300,2020-06-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
62,1,1,E,1,451,6400000,14191,2021-11-18,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
63,1,2,H,27,327,6000000,18349,2019-10-10,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
64,1,2,H,26,327,4280000,13089,2025-10-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
65,1,2,C,25,327,5500000,16820,2022-03-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
66,1,2,D,25,327,5800000,17737,2022-04-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
67,1,2,E,25,451,6500000,14412,2019-03-26,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
68,1,2,A,24,451,7900000,17517,2021-07-30,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
69,1,2,B,24,451,7250000,16075,2022-06-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
70,1,2,G,24,327,5930000,18135,2020-09-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
71,1,2,H,24,327,5895000,18028,2021-05-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
72,1,2,D,23,327,5000000,15291,2025-06-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
73,1,2,F,23,451,6500000,14412,2022-09-09,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
74,1,2,F,22,451,3550000,7871,2023-05-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
75,1,2,B,20,451,5630000,12483,2026-03-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
76,1,2,G,20,327,5850000,17890,2021-11-17,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
77,1,2,B,19,451,7650000,16962,2021-08-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
78,1,2,C,19,327,6000000,18349,2018-09-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
79,1,2,D,19,327,5900000,18043,2020-04-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
80,1,2,D,18,327,6400000,19572,2021-09-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-2,
