PRIVATE  DOMESTIC  -  AVERAGE  PRICES  BY  CLASS [MONTHLY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Class A Hong Kong,Class A Hong Kong - Remarks,Class A Kowloon,Class A Kowloon - Remarks,Class A New Territories,Class A New Territories - Remarks,Class B Hong Kong,Class B Hong Kong - Remarks,Class B Kowloon,Class B Kowloon - Remarks,Class B New Territories,Class B New Territories - Remarks,Class C Hong Kong,Class C Hong Kong - Remarks,Class C Kowloon,Class C Kowloon - Remarks,Class C New Territories,Class C New Territories - Remarks,Class D Hong Kong,Class D Hong Kong - Remarks,Class D Kowloon,Class D Kowloon - Remarks,Class D New Territories,Class D New Territories - Remarks,Class E Hong Kong,Class E Hong Kong - Remarks,Class E Kowloon,Class E Kowloon - Remarks,Class E New Territories,Class E New Territories - Remarks
05-2002,30071,,23886,,25047,,34911,,25792,,26347,,44152,,32565,,30964,,54564,,38830,,35779,,70221,,46094,Z,41927,
06-2002,30196,,23173,,25570,,34531,,25287,,25511,,45505,,32402,,31648,,52225,,36463,,31484,,69572,,54835,Z,35891,Z
07-2002,29128,,23111,,24728,,33724,,24990,,25099,,41528,,32072,,29105,,51299,,41824,,32086,,67674,,50385,Z,32363,Z
08-2002,27738,,23070,,23964,,33470,,24370,,23731,,40592,,29072,,27211,,49339,,35098,Z,28674,,61565,,38841,Z,33759,Z
09-2002,26773,,22266,,23275,,33324,,22697,,24223,,38916,,30375,,28789,,48872,,34566,Z,31595,,59100,,46571,Z,34596,Z
10-2002,26037,,21713,,22789,,32038,,22426,,23118,,41412,,28999,,29550,,56052,,33897,Z,29560,,63298,,47268,Z,27461,
11-2002,26191,,21703,,21976,,31291,,21986,,22770,,38403,,30104,,28742,,52033,,35901,,29533,,61951,,98749,Z,34433,Z
12-2002,25918,,21363,,22163,,31542,,22520,,22672,,40112,,26914,,28914,,52956,,32476,,29165,,61191,,48057,Z,37626,
01-2003,26289,,21307,,21542,,31710,,22346,,21872,,41088,,28985,,27808,,48093,,34694,,31664,,65710,,56170,Z,36422,
02-2003,24598,,20955,,21093,,30682,,22719,,21282,,39575,,27556,,24894,,52901,,37744,Z,27896,,62588,,-,,40133,Z
03-2003,24991,,20754,,21161,,27756,,20056,,21136,,38949,,25752,,25562,,42497,,32470,Z,30805,,65928,,46428,Z,30910,
04-2003,25456,,20142,,20539,,27808,,19834,,20193,,36005,,27300,,26024,,40724,,32503,,29594,,63784,,37160,Z,31449,Z
05-2003,24497,,20374,,19992,,28054,,20503,,20407,,36030,,25868,,24619,,47856,,33665,Z,26639,,66009,,20447,Z,30129,Z
06-2003,23904,,20061,,19840,,27661,,21047,,20197,,38444,,23706,,24439,,45624,,35854,Z,29310,,54339,,48525,Z,27720,Z
07-2003,23363,,19768,,20048,,28857,,20864,,20543,,36796,,25737,,26681,,50463,,33135,,25747,,67939,,45543,Z,33936,
08-2003,23875,,20232,,19724,,28883,,21027,,20301,,38646,,25659,,24445,,43275,,34927,,28725,,65633,,42899,Z,31943,Z
09-2003,27009,,20772,,20413,,31721,,21930,,21394,,39358,,29663,,26817,,52827,,32407,,29026,,64012,,46845,Z,32477,
10-2003,27276,,20858,,21330,,32310,,23598,,21886,,42453,,29882,,27775,,51320,,33720,,31375,,67625,,63244,Z,37834,
11-2003,27280,,21706,,21592,,33511,,23711,,22272,,43756,,30277,,30250,,48844,,37829,,34767,,67722,,67799,Z,37238,
12-2003,27698,,22408,,22428,,32995,,23844,,23006,,45749,,31338,,28593,,49704,,33060,,35585,,76151,,71822,Z,36417,
01-2004,30004,,22261,,23848,,36364,,29286,,24360,,51315,,37373,,30813,,56141,,40227,,36894,,81387,,35310,Z,42115,
02-2004,31530,,24064,,24506,,39833,,30241,,25637,,53243,,41640,,32986,,60261,,49792,,38271,,83250,,85361,Z,40133,
03-2004,32431,,24703,,26459,,42355,,33006,,27091,,56746,,49703,,35492,,69537,,50727,,40788,,97765,,67382,Z,44498,
04-2004,31875,,25699,,26484,,41253,,33599,,28509,,54394,,46031,,35027,,63681,,53913,,42067,,84343,,85668,Z,35825,
05-2004,30567,,25224,,26792,,39250,,30497,,27316,,53082,,42681,,35255,,64962,,48208,,39843,,87045,,63945,Z,37353,
06-2004,29761,,23879,,25570,,36916,,28114,,26588,,51537,,42520,,33190,,59622,,49110,,38628,,100231,,109496,Z,39263,Z
