PRIVATE  DOMESTIC  -  AVERAGE  PRICES  BY  CLASS [MONTHLY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Class A Hong Kong,Class A Hong Kong - Remarks,Class A Kowloon,Class A Kowloon - Remarks,Class A New Territories,Class A New Territories - Remarks,Class B Hong Kong,Class B Hong Kong - Remarks,Class B Kowloon,Class B Kowloon - Remarks,Class B New Territories,Class B New Territories - Remarks,Class C Hong Kong,Class C Hong Kong - Remarks,Class C Kowloon,Class C Kowloon - Remarks,Class C New Territories,Class C New Territories - Remarks,Class D Hong Kong,Class D Hong Kong - Remarks,Class D Kowloon,Class D Kowloon - Remarks,Class D New Territories,Class D New Territories - Remarks,Class E Hong Kong,Class E Hong Kong - Remarks,Class E Kowloon,Class E Kowloon - Remarks,Class E New Territories,Class E New Territories - Remarks
07-2013,124162,,94964,,84355,,127168,,103024,,75735,,155242,,135567,,88513,,188813,,150625,Z,76588,,329423,Z,205678,Z,99783,Z
08-2013,123976,,97537,,84803,,128298,,105477,,76021,,154769,,156498,,88977,,183824,,158177,Z,80780,,351027,Z,217289,Z,63421,Z
09-2013,124556,,95258,,83246,,131131,,102377,,75615,,160475,,142700,,83902,,185046,,165814,Z,81823,,223636,Z,155824,Z,80318,Z
10-2013,118825,,94452,,83396,,119528,,95528,,74674,,168505,,128946,,84575,,190969,Z,160634,Z,84138,,288780,Z,-,,80828,
11-2013,122325,,94939,,81155,,124613,,95464,,73682,,161798,,128024,,84787,,177757,,167399,Z,72482,,212216,Z,-,,75447,
12-2013,120196,,94042,,83257,,122791,,102278,,74543,,163547,,131783,,86788,,185503,,168311,Z,90609,,230610,Z,192939,Z,73987,Z
01-2014,122912,,94583,,83760,,120714,,102645,,73153,,155848,,130555,,85949,,180140,Z,144675,Z,77247,,298896,Z,557678,Z,63226,Z
02-2014,122031,,95923,,83534,,118475,,99396,,74808,,153642,,148517,,80807,,173434,Z,164769,Z,71862,,282660,Z,-,,77574,Z
03-2014,122272,,95963,,84827,,127423,,101480,,76769,,139930,,119849,,83048,,190217,,172046,,84543,,252731,Z,311954,Z,69595,
04-2014,124046,,97350,,86617,,126576,,101635,,76578,,150941,,141165,,88014,,182232,Z,147744,Z,89249,,217482,Z,208282,Z,69527,
05-2014,123284,,101455,,88812,,124808,,105688,,78782,,146313,,127602,,86261,,165846,,177781,,86620,,241024,Z,201432,Z,61089,Z
06-2014,125779,,103124,,89724,,125268,,107610,,81696,,152815,,144548,,88731,,182779,,156309,,89528,,231794,Z,294627,Z,77017,
07-2014,126390,,103960,,91973,,129421,,107638,,82961,,140621,,130799,,89249,,182998,,136221,,85523,,187774,Z,226070,Z,80538,
08-2014,130909,,106452,,92231,,130015,,112940,,82717,,159152,,133557,,90742,,183244,,158359,,83810,,266985,Z,189181,Z,75217,
09-2014,133552,,105985,,94501,,134093,,111655,,82821,,155153,,149010,,91694,,181330,,161125,,92739,,251337,Z,202327,Z,66251,
10-2014,133211,,113331,,95800,,132068,,112477,,84318,,158242,,147216,,93354,,198327,,176208,,83946,,250511,Z,197228,Z,87626,
11-2014,134900,,112186,,97153,,137402,,113685,,85454,,167636,,143987,,94218,,195271,,141968,,82498,,286672,Z,205896,Z,73839,
12-2014,138166,,112619,,101034,,138205,,119118,,88665,,159238,,145756,,95058,,184926,,190669,Z,88881,,253795,Z,192621,Z,76417,
01-2015,142185,,116929,,104719,,140527,,121402,,91268,,172497,,140574,,97361,,187518,,173207,,94158,,212108,Z,-,,90613,
02-2015,147092,,119297,,106392,,145126,,121840,,92028,,169071,,151768,,94277,,215879,,154503,,96912,,206375,Z,310947,Z,72891,
03-2015,148875,,112545,,104778,,150289,,119964,,92482,,166777,,138633,,102627,,189581,,186081,Z,95913,,227406,Z,285667,Z,81938,Z
04-2015,146094,,116134,,105166,,148475,,119159,,93346,,170560,,151631,,100716,,198755,,197965,Z,101506,,230305,Z,175436,Z,97235,
05-2015,147960,,118409,,109038,,151728,,124110,,95574,,176366,,153818,,103624,,195155,,172690,,88912,,245471,Z,113863,Z,103147,
06-2015,147821,,122337,,113816,,153461,,125591,,97813,,179459,,158861,,105736,,209342,,177783,,95726,,215963,Z,171254,Z,131290,
07-2015,151462,,123736,,114705,,152175,,128291,,99534,,170908,,154191,,107064,,193054,,158491,,96277,,261183,Z,220875,Z,72531,
08-2015,150395,,124574,,112796,,153073,,124979,,99686,,181770,,146704,,105710,,198771,,144226,Z,106307,,263819,Z,-,,81271,
09-2015,149928,,120022,,108030,,150115,,117509,,93686,,174574,,166294,,101746,,191916,Z,172404,Z,100499,,301318,Z,196863,Z,88326,Z
10-2015,144388,,114392,,102668,,146295,,111165,,91530,,160319,,157851,,95326,,198759,Z,159643,Z,101059,,231285,Z,248255,Z,82420,Z
11-2015,141753,,108690,,100809,,137688,,112494,,87276,,167668,,140658,,97175,,186914,,152237,Z,96376,,226361,Z,193424,Z,77268,Z
12-2015,135326,,108080,,101079,,136718,,108247,,87842,,153661,,127824,,98222,,207501,,144848,Z,93642,,239001,Z,232564,Z,80059,Z
01-2016,136457,,104023,,96646,,143632,,109071,,83353,,139160,,154162,,90632,,192387,Z,153555,Z,82098,Z,211327,Z,192067,Z,71136,Z
02-2016,125025,,107502,,96064,,131983,,110148,,83513,,173390,Z,145688,,93876,,194307,Z,141692,Z,92857,Z,188414,Z,-,,65411,Z
03-2016,127715,,103717,,95951,,133682,,112064,,85780,,162224,,144512,,93636,,173541,,182679,,85524,,245048,Z,208336,Z,93043,Z
04-2016,129431,,106356,,97765,,132320,,111303,,88045,,153594,,145701,,95092,,203676,,142289,Z,88521,,245171,Z,243520,Z,71193,Z
05-2016,133507,,108231,,97458,,134256,,111662,,88584,,153059,,149022,,96873,,186966,,155816,,91296,,218079,Z,196098,Z,81815,Z
06-2016,130647,,109073,,98504,,134963,,110717,,88775,,156139,,150673,,95109,,197576,,172882,Z,94347,,234386,Z,188398,Z,91043,Z
07-2016,135071,,109448,,98910,,134731,,117487,,90957,,163322,,153184,,94996,,189671,,165374,,101860,,217234,Z,234271,Z,86290,Z
08-2016,138947,,115267,,104381,,140168,,114848,,92999,,164639,,135220,,98053,,190944,,167200,,96948,,245937,Z,291560,Z,83660,Z
09-2016,141802,,116264,,106982,,144356,,120996,,96947,,171045,,149165,,100183,,196841,,155545,,94385,,229523,,307372,Z,76196,Z
10-2016,145297,,119074,,107950,,146160,,122991,,98973,,170455,,156642,,101524,,213438,,171961,,100111,,263134,Z,190476,Z,88056,
11-2016,143519,,117985,,110819,,146919,,114467,,95528,,171687,,160648,,105424,,213616,,202067,,99208,,243374,Z,202962,Z,93950,Z
12-2016,141810,,116320,,112090,,149356,,123792,,97830,,159855,,144527,,99748,,212356,,196301,Z,94604,,280770,Z,216219,Z,70474,Z
01-2017,149334,,121979,,112391,,149245,,118786,,98651,,185736,,149225,,107401,,191646,Z,169958,Z,92255,,275942,Z,277549,Z,87576,Z
02-2017,145930,,121875,,116036,,150962,,129104,,100876,,178320,,167539,,108045,,211418,,162119,Z,106294,,199533,Z,438692,Z,113930,Z
03-2017,152631,,125553,,118811,,153420,,130990,,104857,,177600,,161246,,108623,,202151,,170264,,101992,,254537,Z,326249,Z,80038,
04-2017,160625,,132594,,123041,,161774,,134709,,108561,,184974,,171789,,107567,,221164,,155837,,96603,,250950,Z,-,,97496,
05-2017,159429,,127803,,120992,,162488,,125081,,104756,,181567,,152209,,109354,,213682,,183973,,113707,,240325,Z,206056,Z,104988,
06-2017,154076,,128596,,119100,,170678,,125461,,106722,,190235,,162729,,111370,,220279,,179611,Z,112057,,216464,Z,240085,Z,92669,
07-2017,161377,,128572,,119819,,158037,,130311,,101408,,184957,,151987,,112878,,203454,,196826,Z,101000,,222803,Z,299563,Z,73561,
08-2017,164308,,129735,,121048,,162533,,127793,,103881,,182970,,182005,,111051,,219574,,213662,Z,94217,,255878,Z,285745,Z,107839,Z
09-2017,158448,,131876,,122362,,160460,,133062,,108131,,180860,,169957,,113868,,189855,,173071,,100692,,264747,Z,245016,Z,93452,
10-2017,158716,,134022,,124552,,160567,,132749,,108076,,184141,,158590,,116829,,242599,,176252,,101953,,276889,Z,400288,Z,98788,
11-2017,164230,,136552,,125342,,166462,,137656,,113119,,190567,,172766,,123395,,221537,,192403,,109617,,286886,Z,243749,Z,78091,
12-2017,164551,,138535,,129226,,170118,,136298,,112829,,200471,,157133,,121393,,240344,,194677,,108534,,279933,Z,242672,Z,89477,Z
01-2018,171329,,140763,,132075,,170467,,141290,,115354,,203758,,170613,,121870,,231143,,176014,,120848,,285351,Z,317792,Z,91250,
02-2018,172459,,147791,,131983,,175351,,146427,,117872,,206056,,205891,,126876,,229862,,217407,Z,125806,,287628,Z,230788,Z,107487,Z
03-2018,174970,,149386,,135073,,169328,,147390,,116440,,188657,,165662,,127666,,222381,,226643,,107341,,278303,Z,287468,Z,73282,
04-2018,183541,,149355,,139675,,176744,,148831,,119473,,208410,,180819,,124817,,235148,,190609,,115753,,276919,Z,237793,Z,101404,
05-2018,181374,,152141,,141153,,177459,,151918,,123144,,218381,,167171,,129269,,227107,,187300,,113624,,286441,,248338,Z,99602,
06-2018,184662,,160077,,147492,,179950,,156826,,128706,,218786,,189263,,135044,,230433,,213306,Z,121026,,282608,,334351,Z,81838,Z
07-2018,190109,,156704,,143969,,186035,,143081,,126824,,216671,,169237,,126511,,231824,,218193,Z,111461,,327510,Z,-,,105437,Z
08-2018,186766,,157093,,144151,,179921,,151818,,124646,,208694,,173651,,134150,,250619,Z,156000,Z,113785,,337828,Z,236813,Z,117800,
09-2018,182792,,148211,,142034,,183081,,145786,,118306,,225441,,173797,,132616,,239107,Z,185978,Z,113235,,274992,Z,173088,Z,100806,Z
10-2018,184393,,141335,,138176,,175261,,133078,,114279,,220943,,145934,,134054,,257319,Z,185669,Z,116561,,466568,Z,-,,157296,
11-2018,175257,,137141,,132535,,175277,,141218,,113090,,223330,,188677,,115504,,242891,Z,195585,Z,118483,,226340,Z,342648,Z,102348,Z
12-2018,175079,,142474,,129823,,171390,,141012,,111932,,203331,,181117,,132458,,217471,Z,166815,Z,119084,Z,-,,-,,96847,Z
01-2019,163044,,145988,,136453,,171249,,137135,,115036,,204993,,178145,,121424,,223165,Z,186934,Z,126275,,344962,Z,141414,Z,85570,Z
02-2019,172031,,146927,,137073,,176403,,149822,,124009,,194115,,195644,,127451,,219460,,223731,Z,118588,,283221,Z,-,,91263,Z
03-2019,181222,,153797,,140244,,182260,,154771,,124538,,206658,,194186,,134892,,245696,,210044,,126010,,283780,,256932,Z,95465,
04-2019,186085,,160287,,145658,,186843,,156441,,127335,,225161,,185855,,139424,,262907,,183519,,118893,,278109,Z,208900,Z,95739,
05-2019,190792,,162146,,147974,,188190,,159310,,128496,,222399,,196066,,134294,,249481,,220501,Z,130284,,298078,Z,135422,Z,104903,
06-2019,182373,,163429,,149747,,186971,,152942,,124108,,224557,,163757,,138157,,242229,,189425,Z,134434,,258589,Z,194229,Z,102837,
07-2019,189954,,160413,,146416,,199707,,159446,,128381,,219802,,183860,,143037,,268355,Z,217326,Z,124536,,299408,Z,309625,Z,92810,Z
08-2019,197019,,160946,,143109,,180414,,145629,,122635,,218581,,191974,,131532,,254454,Z,197754,Z,112102,,278644,Z,-,,88800,Z
09-2019,176663,,157674,,148197,,174598,,148587,,122968,,212944,,204144,,131352,,252393,Z,195162,Z,122272,Z,242146,Z,293133,Z,71952,Z
10-2019,179779,,158850,,146383,,180111,,154360,,125072,,201577,,209691,,129854,,242240,Z,198012,Z,114641,,136154,Z,310705,Z,95385,Z
11-2019,189002,,156176,,151104,,182215,,157301,,132716,,213381,,178721,,127526,,243440,Z,253839,Z,120192,,252212,Z,226734,Z,94670,Z
12-2019,183099,,157336,,141148,,185591,,156321,,123794,,217222,,173052,,124582,,226967,,195559,Z,103503,,233576,Z,266674,Z,95961,Z
01-2020,186656,,161816,,146351,,182636,,154893,,129376,,215087,,191345,,126413,,228178,Z,204142,Z,114711,,308103,Z,-,,99182,Z
02-2020,188777,,157445,,145891,,183132,,159024,,127825,,211860,,181726,,132884,,246309,Z,172184,Z,136778,Z,201529,Z,395663,Z,117349,Z
03-2020,186176,,160734,,148592,,181228,,156536,,130572,,210191,,199418,,123308,,234466,,195049,Z,115963,,250116,Z,424044,Z,97323,Z
04-2020,186019,,161870,,151729,,179921,,157812,,129074,,197467,,203862,,126238,,220911,Z,160615,Z,122349,,367799,Z,191206,Z,95565,Z
05-2020,189977,,167178,,153680,,185216,,162672,,134271,,203498,,185049,,130435,,233350,,194587,,123858,,273574,Z,260591,Z,95912,
06-2020,186627,,162498,,150996,,185937,,160666,,131332,,218654,,204510,,129453,,251951,,197924,,121607,,259800,Z,249932,Z,118152,Z
07-2020,190525,,166842,,151689,,183666,,166535,,132428,,225440,,190223,,128353,,240818,,200049,Z,113451,,239251,Z,262111,Z,111109,Z
08-2020,186969,,157940,,146537,,182370,,160989,,132274,,207449,,184821,,128927,,238421,,217906,Z,123068,,269438,Z,351722,Z,106539,Z
09-2020,185914,,167691,,151170,,178489,,162937,,133852,,210354,,185294,,131513,,224046,,192770,Z,123381,,272610,Z,212795,Z,119555,
10-2020,186028,,160966,,147211,,183471,,161530,,132406,,216517,,181797,,132990,,217454,,192513,Z,102747,,285639,Z,279394,Z,92961,
11-2020,187056,,164892,,150776,,181836,,155957,,134218,,216007,,172377,,129560,,241755,,191323,,125658,,265365,Z,181810,Z,92259,Z
12-2020,182175,,162943,,146960,,180803,,161331,,132295,,199347,,179630,,132696,,240048,,224146,Z,121482,,272529,Z,276247,Z,90088,
01-2021,186334,,161519,,150098,,182804,,157182,,133466,,203860,,185691,,136923,,209916,Z,197157,Z,121776,,301089,Z,-,,114447,
02-2021,189786,,165609,,152040,,181785,,164365,,135222,,209623,,198589,,134299,,247821,,223667,Z,123662,,299952,Z,218671,Z,122603,
03-2021,187117,,165853,,153226,,181911,,164627,,137198,,212374,,192025,,137873,,241478,,206691,,123108,,234706,Z,167141,Z,113472,
04-2021,186745,,164583,,155560,,183579,,160950,,136828,,211389,,181398,,132257,,253834,,194656,,124249,,274255,Z,203921,Z,119158,
05-2021,193890,,164964,,152140,,186691,,164700,,136021,,221965,,184829,,138630,,261326,,217745,,130321,,278760,Z,212290,Z,121565,
06-2021,191786,,167908,,155220,,188970,,163997,,139237,,210166,,186379,,143039,,235146,,193379,,128762,,262670,Z,247690,Z,105382,Z
07-2021,194797,,172575,,151309,,187900,,165977,,140114,,218195,,195883,,139443,,240242,,214119,,128553,,292601,Z,-,,100376,Z
08-2021,196719,,170002,,152199,,185971,,160572,,137688,,212493,,193601,,135707,,257158,,255928,,126718,,319911,Z,419368,Z,119062,
09-2021,189721,,171188,,152367,,183417,,159256,,134346,,228079,,183862,,141097,,265624,,188081,Z,128644,,293324,Z,221061,Z,123987,
10-2021,186889,,162494,,153204,,184600,,151232,,133457,,213691,,205332,,138074,,270143,,210626,Z,119355,,396782,Z,-,,117391,Z
11-2021,185735,,160924,,154586,,188298,,152581,,135305,,218572,,157340,,137963,,242231,,210543,Z,131324,,241116,Z,282516,Z,112190,
12-2021,182038,,158895,,150227,,180230,,155688,,134759,,220620,,193351,,132671,,229725,,232979,Z,123660,,283455,Z,266372,Z,102956,Z
01-2022,187692,,161015,,153749,,178743,,157349,,134957,,212167,,183525,,137967,,226374,,202706,Z,130872,,272625,Z,253875,Z,105913,Z
02-2022,181542,,154575,,148478,,182090,,158580,,136737,,214997,,172362,,136181,,230006,Z,220330,Z,121921,,260964,Z,348811,Z,102776,Z
03-2022,179556,,161178,,148659,,186463,,159137,,134505,,201036,,176831,,130502,,222539,Z,191439,Z,116716,,233286,Z,-,,99268,Z
04-2022,183183,,163509,,149829,,181452,,162584,,138770,,203320,,188048,,136885,,247263,,191004,Z,117792,,221540,Z,238306,Z,106270,
05-2022,180594,,157172,,148577,,180275,,157989,,135286,,203786,,167937,,143704,,251428,,187509,,121651,,199798,Z,-,,125173,Z
06-2022,176855,,148803,,145996,,183457,,156356,,132643,,210240,,171859,,137864,,206727,Z,140847,Z,125970,,217042,Z,-,,121820,Z
07-2022,167549,,157596,,144387,,174784,,154309,,128222,,206080,,188395,,135386,,226941,Z,181060,Z,121849,,240985,Z,185631,Z,112929,Z
08-2022,169358,,148475,,140696,,169921,,149001,,128778,,212655,,151576,,138632,,235534,Z,205789,Z,114092,,200336,Z,78204,Z,130519,Z
09-2022,162710,,142151,,141137,,162162,,144934,,126012,,204390,,171280,,131896,,225001,Z,172079,Z,118683,,361819,Z,-,,111390,Z
10-2022,157131,,142962,,136554,,160996,,139119,,124261,,201317,,161492,,128253,,200180,Z,189642,Z,111690,,324823,Z,-,,85564,Z
11-2022,151119,,135097,,130410,,159903,,136406,,120471,,187274,,155560,,124685,,222309,Z,191606,Z,104771,,224838,Z,189259,Z,84735,Z
12-2022,148135,,135679,,128291,,149122,,141607,,119894,,175042,,155809,,127780,,234405,Z,203543,Z,107355,,190957,Z,201842,Z,95575,Z
01-2023,152558,,141855,,131214,,156684,,147534,,123360,,197219,,162296,,129421,,230883,,180373,Z,118449,,349346,Z,166706,Z,97080,Z
02-2023,155401,,143318,,136413,,165330,,145011,,125067,,187173,,171987,,132808,,221425,Z,177212,Z,116012,,276830,Z,213065,Z,119582,Z
03-2023,159963,,139342,,136154,,168071,,147102,,124585,,202866,,165565,,133690,,224248,,162022,,132408,,230555,Z,212832,Z,127940,
04-2023,158520,,141401,,136689,,167660,,150351,,127120,,194444,,163011,,136083,,247285,Z,186025,Z,137723,,243851,Z,-,,103581,Z
05-2023,164305,,137022,,132705,,163626,,145008,,126415,,198502,,155387,,134544,,242366,,186751,,116941,,237326,Z,188342,Z,121981,Z
06-2023,153496,,134077,,135447,,163097,,147452,,121339,,183442,,146716,,133501,,211365,,213842,Z,125352,,276700,Z,189463,Z,80480,Z
07-2023,149803,,132524,,127259,,153713,,138019,,126312,,181501,,155312,,130478,,204097,Z,188278,Z,119427,,281514,Z,229362,Z,95743,Z
08-2023,149565,,129340,,127556,,151297,,139096,,119594,,210809,,166373,,127520,,194803,Z,213516,Z,108066,,255227,Z,118944,Z,116169,Z
09-2023,152686,,128605,,121808,,155691,,130547,,115148,,210025,,166768,,129476,,217720,Z,191560,Z,129046,Z,268883,Z,-,,115847,Z
10-2023,143260,,125390,,119531,,155497,,133514,,112661,,174146,,157730,,127450,,171662,Z,208069,Z,120426,,234552,Z,370255,Z,113721,Z
11-2023,140890,,125233,,118008,,147898,,137165,,111794,,171789,,157926,,123214,,174412,Z,195344,,120789,,251198,Z,-,,86660,Z
12-2023,149651,,120004,,114341,,148518,,130036,,112808,,182607,,155251,,120414,,199419,,179554,Z,108882,,252958,Z,182629,Z,98416,Z
01-2024,135044,,118204,,114155,,143710,,126025,,112457,,157031,,156020,,120715,,202008,,177982,,118338,,238780,Z,209563,Z,74541,Z
02-2024,135734,,123661,,112613,,154860,,130909,,106100,,162295,,157507,,121259,,217749,Z,174592,Z,107026,,249103,Z,-,,84874,Z
03-2024,135087,,120220,,115956,,141912,,129866,,111649,,168895,,163346,,118990,,206817,,183009,,116148,,211595,Z,186295,Z,99517,Z
04-2024,140215,,118258,,113840,,143930,,133717,,112066,,165168,,172216,,121682,,203250,,174802,,114896,,265830,Z,191863,Z,94366,
05-2024,141083,,117821,,112401,,143102,,128946,,107781,,172964,,172993,,118383,,199376,,188280,,107141,,261891,Z,161752,Z,98752,
06-2024,134254,,115540,,111135,,142516,,126110,,110086,,166178,,169861,,119895,,204561,,199687,,110599,,270161,Z,218605,Z,99924,
07-2024,132989,,114122,,109440,,143152,,122897,,108404,,172665,,155287,,115905,,207973,,184776,,103418,,262047,Z,207008,Z,99495,
08-2024,130085,,114840,,110529,,134332,,124910,,104834,,168839,,142936,,118827,,216641,,152745,Z,108240,,248742,Z,209313,Z,86618,Z
09-2024,129451,,109642,,106197,,136953,,116923,,103991,,172802,,146413,,112536,,177017,,190846,,109325,,240804,Z,219358,Z,104001,Z
10-2024,132124,,114996,,111516,,135747,,126272,,109309,,157013,,154484,,117820,,207051,,173177,,112248,,268110,Z,258364,Z,102472,
11-2024,127215,,113579,,110724,,139331,,124569,,107109,,168109,,151978,,115104,,220268,,171208,,105069,,247908,Z,218039,Z,93160,
12-2024,129573,,111090,,107970,,141641,,122380,,105861,,162199,,163713,,114306,,210843,,152098,,110045,,230621,Z,174702,Z,92288,
01-2025,126122,,115916,,107862,,135125,,118948,,103784,,157342,,160908,,111413,,197981,,179572,,105889,,231433,Z,171139,Z,80198,Z
02-2025,129139,,110977,,107230,,134013,,120767,,104305,,163107,,152226,,110149,,190105,,160711,,101265,,200979,Z,258452,Z,89929,Z
03-2025,123192,,114982,,109052,,131447,,116725,,101467,,158433,,160967,,105866,,189687,,164574,,101278,,224100,,188250,Z,86533,
04-2025,123595,,113451,,106811,,133974,,117654,,102135,,157818,,142936,,113556,,166971,,176365,,115777,,265957,Z,179642,Z,84927,
05-2025,127674,,114555,,107856,,133789,,118655,,103754,,158795,,150184,,116218,,205620,,169708,,105205,,208937,Z,340137,Z,99591,
06-2025,127335,,113895,,110552,,131138,,124503,,104552,,159628,,150243,,111966,,196088,,172266,,99009,,212532,,231833,Z,97046,
07-2025,127545,,113658,,111248,,133177,,124525,,105432,,156628,,153951,,119535,,188797,,173925,,110310,,224197,Z,179117,Z,80199,Z
08-2025,135257,,114351,,108584,,132501,,126508,,102666,,164649,,145731,,116470,,175085,,171472,,115185,,211924,Z,160982,Z,94058,
09-2025,136184,,119016,,113747,,135215,,124284,,106697,,171096,,154921,,111664,,188876,,179272,,114334,,226430,,179271,Z,92187,
10-2025,131782,,118596,,109440,,132744,,124811,,105648,,175814,,154217,,114468,,200220,,168953,,108685,,206222,Z,215854,Z,108077,Z
11-2025,135832,,116077,,112115,,141364,,130928,,109271,,166371,,172853,,114704,,198897,,177561,,113815,,219399,Z,202640,Z,100413,
12-2025,136878,,118338,,115164,,139422,,131141,,107333,,163705,,174967,,119169,,198286,,169259,,107733,,259655,Z,162908,Z,100185,
01-2026,138337,,122613,,116965,,143762,,129265,,109314,,165730,,160179,,125184,,183962,,192050,,114069,,261699,Z,174749,Z,85178,
02-2026,141211,,129260,,121827,,145751,,134831,,112794,,174921,,165731,,121168,,199253,,187902,,113753,,323894,Z,211048,Z,101298,
03-2026,142278,,130179,,124351,,148944,,135933,,114905,,175625,,173560,,124489,,202989,,187410,,124327,,212464,Z,214558,Z,99422,
04-2026,153343,,133829,,123457,,150006,,138227,,116045,,173890,,176877,,128385,,195785,,198733,,118519,,233285,Z,203266,Z,98827,
05-2026,148167,P,139880,P,125877,P,156352,P,137853,P,120460,P,194927,P,171622,P,131776,P,225882,P,182721,P,117068,P,248730,P,176109,PZ,98209,P
06-2026,146914,P,135812,P,125497,P,157193,P,139332,P,114199,P,187204,P,168227,P,128411,P,235871,P,185283,P,115390,P,231645,P,255412,PZ,99917,P
07-2026,152904,P,129289,P,121972,P,158072,P,136394,P,109310,P,186483,P,175312,P,126535,P,225118,P,191651,P,116461,P,244327,PZ,322918,PZ,112162,PZ
